title,abstract
"Remote sensing: Principles, interpretation, and applications","Remote sensing has undergone profound changes over the past two decades as GPS, GIS, and sensor advances have significantly expanded the user community and availability of images. New tools, such as automation, cloud-based services, drones, and artificial intelligence, continue to expand and enhance the discipline. Along with comprehensive coverage and clarity, Sabins and Ellis establish a solid foundation for the insightful use of remote sensing with an emphasis on principles and a focus on sensor technology and image acquisition.
The Fourth Edition presents a valuable discussion of the growing and permeating use of technologies such as drones and manned aircraft imaging, DEMs, and lidar. The authors explain the scientific and societal impacts of remote sensing, review digital image processing and GIS, provide case histories from areas around the globe, and describe practical applications of remote sensing to the environment, renewable and nonrenewable resources, land use/land cover, natural hazards, and climate change."
"National wetland mapping using remote-sensing-derived environmental variables, archive field data, and artificial intelligence","While wetland ecosystem services are widely recognized, the lack of fine-scale national inventories prevents successful implementation of conservation policies. Wetlands are difficult to map due to their complex fine-grained spatial pattern and fuzzy boundaries. However, the increasing amount of open high-spatial-resolution remote sensing data and accurately georeferenced field data archives, as well as progress in artificial intelligence (AI), provide opportunities for fine-scale national wetland mapping. The objective of this study was to map wetlands over mainland France (ca. 550,000 km2 ) by applying AI to environmental variables derived from remote sensing and archive field data. A random forest model was calibrated using spatial crossvalidation according to the precision-recall area under the curve (PR-AUC) index using ca. 135,000 soil or flora plots from archive databases, as well as 5 m topographical variables derived from an airborne DTM and a geological map. The model was validated using an experimentally designed sampling strategy with ca. 3000 plots collected during a ground survey in 2021 along non-wetland/wetland transects. Map accuracy was then compared to those of nine existing wetland maps with global, European, or national coverage. The model-derived suitability map (PR-AUC 0.76) highlights the gradual boundaries and fine-grained pattern of wetlands. The binary map is significantly more accurate (F1-score 0.75, overall accuracy 0.67) than existing wetland maps. The approach and end-results are of important value for spatial planning and environmental management since the high-resolution suitability and binary maps enable more targeted conservation measures to support biodiversity conservation, water resources maintenance, and carbon storage."
"Multi-sensor remote sensing for drought characterization: current status, opportunities and a roadmap for the future","Satellite based remote sensing offers one of the few approaches able to monitor the spatial and temporal development of regional to continental scale droughts. A unique element of remote sensing platforms is their multi-sensor capability, which enhances the capacity for characterizing drought from a variety of perspectives. Such aspects include monitoring drought influences on vegetation and hydrological responses, as well as assessing sectoral impacts (e.g., agriculture). With advances in remote sensing systems along with an increasing range of platforms available for analysis, this contribution provides a timely and systematic review of multi-sensor remote sensing drought studies, with a particular focus on drought related datasets, drought related phenomena and mechanisms, and drought modeling. To explore this topic, we first present a comprehensive summary of large-scale remote sensing datasets that can be used for multi-sensor drought studies. We then review the role of multi-sensor remote sensing for exploring key drought related phenomena and mechanisms, including vegetation responses to drought, land-atmospheric feedbacks during drought, drought-induced tree mortality, drought-related ecosystem fires, post-drought recovery and legacy effects, flash drought, as well as drought trends under climate change. A summary of recent modeling advances towards developing integrated multi-sensor remote sensing drought indices is also provided. We conclude that leveraging multi-sensor remote sensing provides unique benefits for regional to global drought studies, particularly in: 1) revealing the complex drought impact mechanisms on ecosystem components; 2) providing continuous long-term drought related information at large scales; 3) presenting real-time drought information with high spatiotemporal resolution; 4) providing multiple lines of evidence of drought monitoring to improve modeling and prediction robustness; and 5) improving the accuracy of drought monitoring and assessment efforts. We specifically highlight that more mechanism-oriented drought studies that leverage a combination of sensors and techniques (e.g., optical, microwave, hyperspectral, LiDAR, and constellations) across a range of spatiotemporal scales are needed in order to progress and advance our understanding, characterization and description of drought in the future."
Coupling coordination analysis of urbanization and eco-environment in Yanqi Basin based on multi-source remote sensing data,"While multi-source remote sensing technology has the advantage of accurate and objective quantification, an understanding of the coupling and coordination between regional urbanization and ecological environment is the basis for achieving regional sustainable development. This paper builds the Remote Sensing Ecological Index (RSEI) based on Landsat data and Tiangong-2 WIS, using multi-source remote sensing data to comprehensively evaluate the coupling and coordination relationship between urbanization and ecological environment with a coupling coordination degree model in China's typical arid area of Yanqin Basin during 2000–2018. The results show the RSEI index has a certain rationality and superiority in assessing the ecological environment. In 2000–2018, the ecological environment of the Yanqi Basin was optimized, the RSEI index increased by 23.06%, and the overall ecological environment was at a good level (0.6–0.8). At the same time, the urbanization level of each town had been significantly improved in Yanqi Basin. Through the urban center of gravity transfer model, it was found that direction of urban development shifted to the southwest direction by 7.49 km, which is basically consistent with the position of poor ecological environment. Finally the current urbanization and ecological environment coupling relationship in urban areas of Yanqi Basin was found to exhibit a sluggish rate of urbanization with a moderate imbalance between urbanization with ecological environment. Therefore, when making decisions for planning the regional economic development, the concept of ecological relationships should be integrated to effectively protect and achieve a healthy and sustainable development of the region."
Introduction to the physics and techniques of remote sensing,"The science and engineering of remote sensing--theory and applications
The Second Edition of this authoritative book offers readers the essential science and engineering foundation needed to understand remote sensing and apply it in real-world situations. Thoroughly updated to reflect the tremendous technological leaps made since the publication of the first edition, this book covers the gamut of knowledge and skills needed to work in this dynamic field, including:
* Physics involved in wave-matter interaction, the building blocks for interpreting data
* Techniques used to collect data
* Remote sensing applications
The authors have carefully structured and organized the book to introduce readers to the basics, and then move on to more advanced applications. Following an introduction, Chapter 2 sets forth the basic properties of electromagnetic waves and their interactions with matter. Chapters 3 through 7 cover the use of remote sensing in solid surface studies, including oceans. Each chapter covers one major part of the electromagnetic spectrum (e.g., visible/near infrared, thermal infrared, passive microwave, and active microwave).
Chapters 8 through 12 then cover remote sensing in the study of atmospheres and ionospheres. Each chapter first presents the basic interaction mechanism, followed by techniques to acquire, measure, and study the information, or waves, emanating from the medium under investigation. In most cases, a specific advanced sensor is used for illustration.
The book is generously illustrated with fifty percent new figures. Numerous illustrations are reproduced in a separate section of color plates. Examples of data acquired from spaceborne sensors are included throughout. Finally, a set of exercises is provided.
This book is based on an upper-level undergraduate and first-year graduate course taught by the authors at the California Institute of Technology. Because of the multidisciplinary nature of the field and its applications, it is appropriate for students in electrical engineering, applied physics, geology, planetary science, astronomy, and aeronautics. It is also recommended for any engineer or scientist interested in working in this exciting field."
Monitoring the effects of open-pit mining on the eco-environment using a moving window-based remote sensing ecological index,"Environmental problems caused by mines have been increasing. As one of the most serious types of mining damage caused to the eco-environment, open pits have been the focus of monitoring and management. Previous studies have obtained effective results when evaluating the ecological quality of a mining area by using the remote sensing ecological index (RSEI). However, the calculation of RSEI does not consider that the ecological environmental impact is limited under natural conditions. To overcome this shortcoming, this paper proposes an improved RSEI based on a moving window model, namely the moving window-based remote sensing ecological index (MW-RSEI). This improved index is more in agreement with the First Law of Geography than RSEI. This study uses Landsat ETM/OLI/TIRS images to extract MW-RSEI information of a case area in Zhengzhou City, Henan Province, central China, in 2009 and 2018. The results revealed that the average value of MW-RSEI declined from 0.668 to 0.611 from 2009 to 2018, and the main drivers of the deterioration of the eco-environment were land use/cover (LUCC) changes, most of which were derived from urban expansion and mining. The serious impact of open pits on the eco-environment in mining areas is mainly due to their low vegetation cover; therefore, some effectively managed open pits can have a positive impact on the mining environment. The use of MW-RSEI provides valuable information on the eco-environment surrounding the open pit, which can be used for the rapid and effective monitoring of the eco-environment in mining areas."
Land-cover classification with high-resolution remote sensing images using transferable deep models,"In recent years, large amount of high spatial-resolution remote sensing (HRRS) images are available for land-cover mapping. However, due to the complex information brought by the increased spatial resolution and the data disturbances caused by different conditions of image acquisition, it is often difficult to find an efficient method for achieving accurate land-cover classification with high-resolution and heterogeneous remote sensing images. In this paper, we propose a scheme to apply deep model obtained from labeled land-cover dataset to classify unlabeled HRRS images. The main idea is to rely on deep neural networks for presenting the contextual information contained in different types of land-covers and propose a pseudo-labeling and sample selection scheme for improving the transferability of deep models. More precisely, a deep Convolutional Neural Networks (CNNs) is first pre-trained with a well-annotated land-cover dataset, referred to as the source data. Then, given a target image with no labels, the pre-trained CNN model is utilized to classify the image in a patch-wise manner. The patches with high confidence are assigned with pseudo-labels and employed as the queries to retrieve related samples from the source data. The pseudo-labels confirmed with the retrieved results are regarded as supervised information for fine-tuning the pre-trained deep model. To obtain a pixel-wise land-cover classification with the target image, we rely on the fine-tuned CNN and develop a hybrid classification by combining patch-wise classification and hierarchical segmentation. In addition, we create a large-scale land-cover dataset containing 150 Gaofen-2 satellite images for CNN pre-training. Experiments on multi-source HRRS images, including Gaofen-2, Gaofen-1, Jilin-1, Ziyuan-3, Sentinel-2A, and Google Earth platform data, show encouraging results and demonstrate the applicability of the proposed scheme to land-cover classification with multi-source HRRS images."
"Satellite remote sensing of active fires: History and current status, applications and future requirements","Landscape fire is a widespread, somewhat unpredictable phenomena that plays an important part in Earth's biogeochemical cycling. In many biomes worldwide fire also provides multiple ecological benefits, but in certain circumstances can also pose a risk to life and infrastructure, lead to net increases in atmospheric greenhouse gas concentrations, and to degradation in air quality and consequently human health. Accurate, timely and frequently updated information on landscape fire activity is essential to improve our understanding of the drivers and impacts of this form of biomass burning, as well as to aid fire management. This information can only be provided using satellite Earth Observation (EO) approaches, and remote sensing of active fire is one of the key techniques used. This form of EO is based on detecting the signature of the (mostly infrared) electromagnetic radiation emitted as biomass burns. Since the early 1980's, active fire (AF) remote sensing conducted using low Earth orbit (LEO) satellites has been deployed in certain regions of the world to map the location and timing of landscape fire occurrence, and from the early 2000's global-scale information updated multiple times per day has been easily available to all. Geostationary (GEO) satellites provide even higher frequency AF information, more than 100 times per day in some cases, and both LEO- and GEO-derived AF products now often include estimates of a fires characteristics, such as its fire radiative power (FRP) output, in addition to the fires detection. AF data provide information relevant to fire activity ongoing when the EO data were collected, and this can be delivered with very low latency times to support applications such as air quality forecasting. Here we summarize the history of achievements in the field of active fire remote sensing, review the physical basis of the approaches used, the nature of the AF detection and characterization techniques deployed, and highlight some of the key current capabilities and applications. Finally, we list some important developments we believe deserve focus in future years."
Monitoring biodiversity in the Anthropocene using remote sensing in species distribution models,"In the face of the growing challenges brought about by human activities, effective planning and 77 decision-making in biodiversity and ecosystem conservation, restoration, and sustainable 4 78 development are urgently needed. Ecological models can play a key role in supporting this need 79 and helping to safeguard the natural assets that underpin human wellbeing and support life on 80 land and under water (United Nations Sustainable Development Goals; SDG 14 & 15). The 81 urgency and complexity of safeguarding forest (SDG 15.2) and mountain ecosystems (SDG 15.4), 82 for example, and halting decline in biodiversity (SDG 15.5) in the Anthropocene requires a re83 envisioning of how ecological models can best support the comprehensive assessments of 84 biodiversity and its change that are required for successful action. 85 A key opportunity to advance ecological modeling for both predictive and explanatory purposes 86 arises through a collaboration between ecologists and the Earth observation community to 87 achieve a close integration of remote sensing and species distribution models. Remote sensing 88 data products have the capacity to provide continuous spatiotemporal information about key 89 factors driving the distribution of organisms, therefore improving both the use and accuracy of 90 these models for management and planning. 91 Here we first survey the literature on remote sensing data products available to ecological 92 modelers interested in improving predictions of species range dynamics under global change. We 93 specifically explore the key biophysical processes underlying the distribution of species in the 94 Anthropocene including climate variability, changes in land cover, and disturbance. We then 95 discuss potential synergies between the ecological modeling and remote sensing communities, 96 and highlight opportunities to close the data and conceptual gaps that currently impede a more 97 effective application of remote sensing for the monitoring and modeling of ecological systems. 98 Specific attention is given to how potential collaborations between the two communities could lead 99 to new opportunities to report on progress towards global agendas such as the Agenda 2030 for 100 sustainable development of the United Nations or the Post-2020 Global Biodiversity Framework 101 of the Convention for Biological Diversity, and help guide conservation and management 102 strategies towards sustainability. "
Remote sensing digital image analysis,"Remote Sensing Digital Image Analysis provides a comprehensive treatment of the methods used for the processing and interpretation of remotely sensed image data.  Over the past decade there have been continuing and significant developments in the algorithms used for the analysis of remote sensing imagery, even though many of the fundamentals have substantially remained the same.  As with its predecessors this new edition again presents material that has retained value but also includes newer techniques, covered from the perspective of operational remote sensing.

The book is designed as a teaching text for the senior undergraduate and postgraduate student, and as a fundamental treatment for those engaged in research using digital image analysis in remote sensing.  The presentation level is for the mathematical non-specialist.  Since the very great number of operational users of remote sensing come from the earth sciences communities, the text is pitched at a level commensurate with their background.  

The chapters progress logically through means for the acquisition of remote sensing images, techniques by which they can be corrected, and methods for their interpretation. The prime focus is on applications of the methods, so that worked examples are included and a set of problems conclude each chapter."
A remote sensing approach to mapping fire severity in south-eastern Australia using sentinel 2 and random forest,"Accurate and consistent broad-scale mapping of fire severity is an important resource for fire management as well as fire-related ecological and climate change research. Remote sensing and machine learning approaches present an opportunity to enhance accuracy and efficiency of current practices. Quantitative biophysical models of photosynthetic, non-photosynthetic and bare cover fractions have not been widely applied to fire severity studies but may provide greater consistency in comparisons of different fires across the landscape compared to reflectance-based indices. We systematically tested and compared reflectance and fractional cover candidate severity indices derived from Sentinel 2 satellite imagery using a random forest (RF) machine learning framework. Assessment of predictive power (cross-validation) was undertaken to quantify the accuracy of mapping severity of new fires. The effect of environmental variables on the accuracy of the RF predicted severity classification was examined to assess the stability of the mapping across the landscape. The results indicate that fire severity can be mapped with very high accuracy using Sentinel 2 imagery and RF supervised classification. The mean accuracy was >95% for the unburnt and extreme severity class (complete crown consumption), >85% for high severity class (full crown scorch), >80% for low severity (burnt understory, unburnt canopy) and >70% for the moderate severity class (partial canopy scorch). Higher canopy cover and higher topographic complexity was associated with a higher rate of under-prediction, due to the limitations of optical sensors in viewing the burnt understorey of low severity classes under these conditions. Further research is aimed at improving classification accuracy of low and moderate severity classes and applying the RF algorithm to hazard reduction fires."
Deep building footprint update network: A semi-supervised method for updating existing building footprint from bi-temporal remote sensing images,"Building footprint information is one foundation for understanding urban processes and hence a program for environmentally sustainable urbanization. For most cities, municipal governments have constructed basic building contour databases for basic land resource management and urban planning. These building contour databases, however, need to be updated regularly to ensure their validity. Cities are dynamic, changing rapidly over short periods, thus there is an urgent need for automatic methods to produce up-to-date building footprints. Even fully supervised automated methods have major limitations in the building footprint updating process because the labels for current buildings or changed areas are lacking. Moreover, state-of-the-art automatic schemes even some based on deep learning approaches, however, often fail to precisely depict building boundaries, jeopardizing effective updating of building databases. To address these interrelated problems, we developed a novel algorithm to automatically update the existing building databases to their current status with minimal manual intervention; the saliency-guided edge-preservation framework (named SG-EPUNet) for updating existing building databases and producing up-to-date building footprints. This neural network-based method can update building footprints from remote sensing images, requiring manual annotations for only 20% of the buildings. To robustly extract building features, we designed an edge-preservation neural network (EPUNet) that combines edge detection with contextual aggregation in the proposed SG-EPUNet framework. We applied the methods on two datasets from Christchurch, New Zealand, and Guangzhou, China, to assess the effectiveness of the method in urban and suburban areas. For both study areas, the F1-score values for the building update results reached approximately 97%, which confirmed the applicability of the SG-EPUNet framework. The results also show that SG-EPUNet maintains robustness to large areas, even with very limited ground truth labeling. The joint combination of building prior and very high-resolution remote sensing images makes the proposed method a promising approach for automatically producing up-to-date building footprints in practical applications. The source code of the proposed EPUNet and SG-EPUNet is publicly available at https://github.com/HaonanGuo/SG-EPUNet."
A review of machine learning in processing remote sensing data for mineral exploration,"The decline of the number of newly discovered mineral deposits and increase in demand for different minerals in recent years
has led exploration geologists to look for more efficient and innovative methods for processing different data types at each stage
of mineral exploration. As a primary step, various features, such as lithological units, alteration types, structures, and indicator
minerals, are mapped to aid decision-making in targeting ore deposits. Different types of remote sensing datasets, such as satellite
and airborne data, make it possible to overcome common problems associated with mapping geological features. The rapid increase
in the volume of remote sensing data obtained from different platforms has encouraged scientists to develop advanced, innovative,
and robust data processing methodologies. Machine learning methods can help process a wide range of remote sensing datasets
and determine the relationship between components such as the reflectance continuum and features of interest. These methods are
robust in processing spectral and ground truth measurements against noise and uncertainties. In recent years, many studies have been
carried out by supplementing geological surveys with remote sensing datasets, which is now prominent in geoscience research. This
paper provides a comprehensive review of the implementation and adaptation of some popular and recently established machine
learning methods for processing different types of remote sensing data and investigates their applications for detecting various ore
deposit types. We demonstrate the high capability of combining remote sensing data and machine learning methods for mapping
different geological features that are critical for providing potential maps. Moreover, we find there is scope for advanced methods
such as deep learning to process the new generation of remote sensing data that provide high spatial and spectral resolution for
creating improved mineral prospectivity maps."
UAV-based remote sensing for the petroleum industry and environmental monitoring: State-of-the-art and perspectives,"An unmanned aerial vehicle (UAV), popularly known as a drone, is an aircraft without a human pilot aboard. Recent developments in sensor technology and navigation systems have made drones a powerful and reliable basis for professional data acquisition. Today, the use of UAVs has expanded massively in the civil and commercial sectors and this technology has found its way into almost every industrial sector including the petroleum industry. Drone technology offers a great potential to revolutionize the mapping, monitoring, inspection, and surveillance procedures of the petroleum industry by providing a faster, safer, and more cost-efficient way of mass data collection. This article offers a review of the common UAV platforms and sensor systems and highlights the state-of-the-art and application examples of drone remote sensing in the oil and gas industry. Six broad areas are recognized comprising offshore oil spill detection, oil leakage detection, pipeline monitoring, gas emission sensing, remote facility inspection, petroleum exploration (i.e., land surveying, geologic mapping, and petroleum exploration), and environmental monitoring. Research gaps and open issues along with opportunities for further developments in each of these areas are highlighted."
Hyperlocal mapping of urban air temperature using remote sensing and crowdsourced weather data,"The impacts of climate change such as extreme heat waves are exacerbated in cities where most of the world's population live. Quantifying urbanization impacts on ambient air temperatures (Tair) has relevance for human health risk, building energy use efficiency, vector-borne disease control and urban biodiversity. Remote sensing of urban climate has been focused on land surface temperature (LST) due to a scarcity of data on Tair which is usually interpolated at 1 km resolution. We assessed the efficacy of mapping hyperlocal Tair (spatial resolutions of 10–30 m) over Oslo, Norway, by integrating Sentinel, Landsat and LiDAR data with crowd-sourced Tair measurements from 1310 private weather stations during 2018. Using Random Forest regression modelling, we found that annual mean, daily maximum and minimum Tair can be mapped with an average RMSE of 0.52 °C (R2 = 0.5), 1.85 °C (R2 = 0.05) and 1.46 °C (R2 = 0.33), respectively. Mapping accuracy decreased sharply with <250 weather stations (approx. 1 station km−2) and remote sensing data averaged within a 100-500 m buffer zone around each station maximized accuracy. Further, models performed best outside of summer months when the spatial variation in temperatures were low and wind velocities were high. Finally, accuracies were not evenly distributed over space and we found the lowest mapping errors in the local climate zone characterized by compact lowrise buildings which are most relevant to city residents. We conclude that this method is transferable to other cities given there was little difference (0.02 °C RMSE) between models trained on open- (satellite and terrain) vs closed-source (LiDAR) remote sensing data. These maps can provide a complement to and validation of traditional urban canopy models and may assist in identifying hyperlocal hotspots and coldspots of relevance to urban planners."
